airfoil_name,status,error,mu,ea,gj,ga22,ga33,ei22,ei33,stf12r,stf13r,stf14r,stf15r,stf16r,stf23r,stf24r,stf25r,stf26r,stf34r,stf35r,stf36r,stf45r,stf46r,stf56r,cmp12r,cmp13r,cmp14r,cmp15r,cmp16r,cmp23r,cmp24r,cmp25r,cmp26r,cmp34r,cmp35r,cmp36r,cmp45r,cmp46r,cmp56r,tc2,tc3,sc2,sc3
ssca07,ok,,5.6017527006,143066345.95,123092.68519,383763.32402,44644653.639,98539.376466,12056966.158,0.0,0.0,0.0,885434.63422,-35429556.539,-298110.36144,-477537.90298,0.0,0.0,18195.639058,0.0,0.0,0.0,0.0,-136956.50119,0.0,0.0,0.0,-7.9962195709e-08,2.1086430578e-08,1.4084689325e-08,8.4779893558e-08,0.0,0.0,-3.1766717414e-07,0.0,0.0,0.0,0.0,-6.9284791736e-08,0.24764424018,0.0061889791643,0.039102505461,0.010435784748
ssca09,ok,,5.6275903885,143726229.35,204346.85071,632498.19396,44730856.207,164320.93424,12193801.579,0.0,0.0,0.0,1144806.7243,-35419896.457,-381177.12335,-613382.83603,0.0,0.0,31760.125277,0.0,0.0,0.0,0.0,-175876.28293,0.0,0.0,0.0,-6.1537604308e-08,2.07480717e-08,1.0731247156e-08,6.5360845453e-08,0.0,0.0,-2.052688843e-07,0.0,0.0,0.0,0.0,-5.3026944231e-08,0.24644003129,0.0079651899974,0.041946050057,0.013356282928
stcyr171,ok,,5.6391880492,144022428.59,293740.40181,946495.8024,44691930.969,236689.44776,12235938.47,0.0,0.0,0.0,274.62588115,-34812759.73,-539.95781313,65.571822696,0.0,0.0,-16313.898776,0.0,0.0,0.0,0.0,63.729082708,0.0,0.0,0.0,-1.8915648853e-11,1.9754727475e-08,1.2690868448e-11,-4.2859385787e-12,0.0,0.0,5.867800844e-08,0.0,0.0,0.0,0.0,-4.4926008097e-11,0.24171762739,1.9068271785e-06,-0.017236101777,-1.2589533203e-06
stcyr172,ok,,5.6746339938,144927702.72,415398.61917,1338291.2169,44768890.147,339369.90903,12414739.645,0.0,0.0,0.0,0.20102743912,-34786422.784,0.092366849836,0.21915664799,0.0,0.0,-23352.480123,0.0,0.0,0.0,0.0,0.016646415441,0.0,0.0,0.0,-7.7845070022e-15,1.9333956921e-08,-1.7488086835e-15,-1.187122498e-14,0.0,0.0,4.2006580993e-08,0.0,0.0,0.0,0.0,-1.540358975e-14,0.24002604148,1.3870877365e-09,-0.017449475741,-4.9312904646e-09
stcyr234,ok,,5.7839440541,147719434.56,601871.78082,2119493.5662,44946771.588,534485.91816,12958015.905,0.0,0.0,0.0,9661599.115,-35163145.266,-2723741.1495,-4746702.9242,0.0,0.0,289847.93046,0.0,0.0,0.0,0.0,-1516206.6514,0.0,0.0,0.0,-1.4883485823e-07,2.7476180332e-08,2.8501689586e-08,1.7609477533e-07,0.0,0.0,-8.4631158724e-10,0.0,0.0,0.0,0.0,-1.131468437e-07,0.2380400749,0.065405064297,0.00050937106214,0.10598647602
stcyr24,ok,,5.7192711631,146067716.76,383148.6777,1467551.2526,44735034.841,351573.05459,12606469.682,0.0,0.0,0.0,7741328.2432,-35041728.539,-1739300.66,-4064172.0458,0.0,0.0,189719.70446,0.0,0.0,0.0,0.0,-1356085.88,0.0,0.0,0.0,-1.7762212551e-07,2.6132355316e-08,2.1457204512e-08,2.3531055155e-07,0.0,0.0,-5.5856319941e-08,0.0,0.0,0.0,0.0,-1.1305334692e-07,0.23990057021,0.052998214904,0.021401275127,0.090158926677
ste87151,ok,,5.6509183652,144322015.8,499314.16854,1503703.4833,44426062.925,402840.29675,12218226.074,0.0,0.0,0.0,3132668.7218,-35026500.189,27760.074776,-1358496.2793,0.0,0.0,212564.10656,0.0,0.0,0.0,0.0,-772061.08404,0.0,0.0,0.0,-5.3302129894e-08,1.9812173013e-08,-9.1324672471e-09,6.1419264068e-08,0.0,0.0,-2.8423958022e-07,0.0,0.0,0.0,0.0,2.3917582117e-09,0.24269686087,0.021706104258,0.14192484966,0.03066750877
ste87391,ok,,5.6796905629,145056845.31,549072.31546,1768713.7975,44451085.692,458885.38372,12354584.13,0.0,0.0,0.0,4937484.4014,-35020468.262,242457.72109,-2243539.3484,0.0,0.0,134502.24319,0.0,0.0,0.0,0.0,-1267130.8256,0.0,0.0,0.0,-7.0975267906e-08,1.9110722118e-08,-1.0778522434e-08,9.2749502958e-08,0.0,0.0,-1.5109422373e-07,0.0,0.0,0.0,0.0,1.3245742161e-08,0.241425823,0.034038272312,0.082961655274,0.050926184347
stf86361,ok,,5.6460734165,144198277.9,487761.66343,1568516.9597,44181048.082,413338.89315,12129809.353,0.0,0.0,0.0,4820508.532,-35304992.428,158227.33072,-2053367.0119,0.0,0.0,207185.29503,0.0,0.0,0.0,0.0,-1239207.5558,0.0,0.0,0.0,-7.7995528234e-08,1.9805983768e-08,-1.5453504998e-08,9.6290189453e-08,0.0,0.0,-2.8041677713e-07,0.0,0.0,0.0,0.0,1.1762005913e-08,0.24483643592,0.03342972331,0.13677655367,0.04696666298
strand,ok,,5.4387814082,138904129.49,325507.04177,1629282.5467,42295200.125,329717.00498,10769461.544,0.0,0.0,0.0,3189393.8254,-29540939.765,-742982.25077,-1751335.552,0.0,0.0,-152446.60733,0.0,0.0,0.0,0.0,-461055.28628,0.0,0.0,0.0,-8.2620563065e-08,2.1423226249e-08,2.576937738e-08,1.3331872718e-07,0.0,0.0,3.4536643137e-07,0.0,0.0,0.0,0.0,-6.117863387e-08,0.21267142938,0.022961115966,-0.1124192054,0.043396184496
