airfoil_name,status,error,mu,ea,gj,ga22,ga33,ei22,ei33,cmp12r,cmp13r,cmp14r,cmp15r,cmp16r,cmp23r,cmp24r,cmp25r,cmp26r,cmp34r,cmp35r,cmp36r,cmp45r,cmp46r,cmp56r,tc2,tc3,sc2,sc3
a18,ok,,30.609150247,194202174.13,246534.38155,1344333.872,113643872.91,124171.51813,15246600.132,-5.2627480618e-25,1.8071620518e-24,-4.3578189408e-24,-3.2613198488e-07,1.9626178489e-08,-8.6667247905e-10,2.4057971484e-07,6.488302476e-24,-9.2341722966e-26,-1.7389737242e-07,-4.5362058253e-24,6.1501512578e-24,-9.0906716608e-24,-1.2709103836e-24,-1.0275247502e-07,0.23574081712,0.037494657801,0.042871681161,0.05931117121
a18sm,ok,,30.711312035,194854686.81,247216.80319,1329781.232,114005714.17,124232.96278,15397967.22,-3.8818597032e-25,1.7567767387e-24,-4.4714540092e-24,-2.0530663736e-07,1.4663114935e-08,-1.0686059281e-08,1.817347146e-07,6.7067969877e-24,-6.4029943538e-26,-1.8786410066e-07,-4.6329299486e-24,6.0912422096e-24,-9.1652875452e-24,-1.3949897779e-24,2.4032972792e-08,0.23521880219,0.026208377187,0.046443162399,0.044927875172
a63a108c,ok,,30.374642173,192792239.3,305159.80636,1155152.4676,113622143.45,122946.93599,15030964.037,-6.5699981699e-26,1.6851606153e-24,-4.2963278287e-24,-4.0971618984e-08,1.5284841363e-08,4.3639864838e-11,2.0171918258e-08,8.0268235646e-24,-9.1314284294e-27,-1.1348246723e-07,-4.5938651278e-25,6.7472453699e-24,-7.2244094975e-25,-1.5076398536e-24,-6.7265705927e-09,0.22923643337,0.0048477572518,0.034630287727,0.0061556586697
ag03,ok,,29.133236367,184721911.88,171578.25609,832122.61783,109665406.74,72628.417232,13325292.458,-2.8774100261e-25,1.8586435025e-24,-5.7178930011e-24,-2.237586047e-07,1.804501204e-08,8.1558881748e-09,1.3957817113e-07,9.9461726963e-24,-7.8093086838e-26,-7.4448569717e-08,-4.3875115883e-24,8.0757671848e-24,-8.2597308827e-24,-2.3044099035e-24,-1.2309894461e-07,0.21377835945,0.014341104523,0.01277375576,0.023948579191
ag04,ok,,28.765437572,182415810.79,163439.95291,868193.28988,108837185.94,70010.330546,12922109.782,-2.5713920925e-25,1.5758969121e-24,-5.9595014843e-24,-1.9154933477e-07,1.6823282606e-08,6.0223496523e-09,1.2884893654e-07,9.95313741e-24,-7.4829765709e-26,1.0439349139e-07,-6.0272953576e-24,7.6381833074e-24,-1.0181988973e-23,-2.9696986007e-24,-5.1696620611e-08,0.20843087839,0.01265622558,-0.017062067317,0.021059064121
ag08,ok,,28.758538314,182396665.96,130221.48831,732126.85422,108974326.49,56294.754208,12944724.399,-2.9059582419e-25,1.716915212e-24,-6.6170552662e-24,-2.4213558737e-07,1.6945450144e-08,6.908500699e-09,1.6602630057e-07,1.0808494384e-23,-8.8757333512e-26,1.3431325834e-07,-8.8129351205e-24,8.1805062249e-24,-1.4973954161e-23,-3.3971668512e-24,-5.8868548686e-08,0.20896446199,0.012938599859,-0.0174904724,0.021620191959
ag11,ok,,29.253325758,185559469.7,148548.62068,743983.80508,110310301.27,63472.745673,13535638.472,-3.4391576905e-25,1.9960878458e-24,-6.0768803294e-24,-2.9759969355e-07,1.9667999684e-08,1.2798170001e-08,1.8025969012e-07,1.0399131291e-23,-1.0438972723e-25,-1.1562803572e-07,-5.6217366217e-24,8.3962541929e-24,-1.1129643985e-23,-2.5679380284e-24,-1.9961419802e-07,0.21513842443,0.016166260479,0.017176385219,0.026777328332
ag10,ok,,28.488834132,180910955.39,76107.825548,524132.54549,109052837.39,33171.630052,12862742.777,-3.489280395e-25,1.800218807e-24,-8.5930513801e-24,-4.0009167876e-07,1.8521881845e-08,1.8285508982e-08,2.6795600628e-07,1.309461457e-23,-1.5389093801e-25,4.0402920757e-07,-1.8629304417e-23,8.8186948881e-24,-3.1912870946e-23,-5.5779135814e-24,-1.8694087272e-07,0.20632026997,0.011992736002,-0.030749784446,0.02039354898
ag09,ok,,28.168507499,178721972.12,86810.214544,579329.50502,107786316.29,38006.241249,12366973.275,-3.575081777e-25,1.8808332883e-24,-8.0641418118e-24,-3.7475126206e-07,1.8553492523e-08,1.2606793403e-08,2.5460470449e-07,1.2558919525e-23,-1.4388349528e-25,1.6559047847e-07,-1.5627210916e-23,8.8577666704e-24,-2.8136256067e-23,-4.9409605344e-24,-1.5920544859e-07,0.20139944849,0.013024737305,-0.014374944962,0.022102289021
ag12,ok,,27.581929872,174909643.05,139627.67544,877061.16401,105814752.35,60260.300037,11639421.259,-2.9485282068e-25,1.3863931152e-24,-6.5992213211e-24,-2.3059739924e-07,1.6322401696e-08,3.1360744749e-09,1.5340392115e-07,1.0555543719e-23,-1.0755559987e-25,1.8157324729e-07,-8.6051109108e-24,7.4209099565e-24,-1.5302931194e-23,-4.4579613164e-24,1.0199299272e-08,0.19163287047,0.014013653809,-0.02535265044,0.021419432914
