airfoil_name,status,error,mu,ea,gj,ga22,ga33,ei22,ei33,tc2,tc3,sc2,sc3
hq1585,ok,,29.025386043,2575129306.7,351646.26352,1488443.4666,108577954.08,2039657.2127,182941143.52,0.21052121768,0.011452683061,0.053146585688,0.017006607698
goe738,ok,,30.803697519,2732900920.5,1165717.8465,4483041.4603,112621335.26,7239755.8985,213700796.78,0.22094324209,0.011154838896,-0.003169328045,0.023842309737
hq2510,ok,,29.641413434,2629783194.4,487129.61867,1998204.7983,110110048.03,2911562.1703,193421854.11,0.21739936159,0.019510763157,0.057880102869,0.029262553027
hq3514,ok,,30.475028183,2703741410.4,994958.46844,3820937.5371,111746891.35,6144000.0562,207523360.62,0.2214823604,0.026880528347,0.050444857725,0.040783477327
hs1620,ok,,33.058589272,2932954688.3,2730717.1237,7986090.5965,119047827.97,16475892.075,260537292.99,0.24099547558,0.02866615506,0.099164955007,0.048320253282
kc135c,ok,,30.291495538,2687458412.8,555811.77757,1991275.3752,112070209.2,3265149.9825,205536356.07,0.22828727071,0.011733771531,0.11119310069,0.018196741156
ht14,ok,,29.061156588,2578302865.8,220096.02238,1080997.1196,109690456.99,1281708.7401,185644647.42,0.20884527746,1.2267041961e-05,-0.062828722754,1.7652819029e-05
l7769,ok,,28.929366395,2566610453.3,474637.4574,2840328.0378,107592311.29,3279823.9275,180350038.57,0.198448886,0.025041285651,-0.045778869401,0.048518940391
k1,ok,,29.578828227,2624230641.2,688398.08107,2694153.5085,109643804.83,4045583.4327,191770397.12,0.21086664154,0.0097448637705,0.045755701006,0.0088402617997
m4,ok,,30.204474786,2679737940.5,193578.21777,838286.07919,112699206.91,1167593.1539,205480505.35,0.23234298826,0.011387640273,0.080562401954,0.023234140145
lwk80120k25,ok,,30.452739597,2701763969.3,802998.25345,2795417.7339,112485765.71,4651721.0898,208537279.87,0.22737327871,6.3175690906e-11,0.10893480081,-3.7099621137e-10
marske7,ok,,30.80824352,2733304241.3,752406.18327,2837591.487,113240719.52,4683458.5652,214848022.38,0.23259455759,0.01508241025,0.10796519503,0.032892076688
mh110,ok,,29.839375225,2647346344.4,436054.9722,1845253.7343,110906312.92,2608405.0784,197418173.19,0.21940107066,0.0022242263942,-0.022100025814,0.0071275102473
mh121,ok,,29.791145216,2643067382.9,372559.33483,1532337.713,110677685.0,2241106.0398,196340338.78,0.22408293427,0.02060651619,0.10754150549,0.029592207689
mh122,ok,,29.99111134,2660808357.2,432673.4355,1775499.7875,111152356.15,2641976.8263,199846308.05,0.2250774919,0.024488859693,0.1035339348,0.035759363354
mh150,error,Case failed and returned no VABS output.,,,,,,,,,,,
