airfoil_name,status,error,mu,ea,gj,ga22,ga33,ei22,ei33,cmp12r,cmp13r,cmp14r,cmp15r,cmp16r,cmp23r,cmp24r,cmp25r,cmp26r,cmp34r,cmp35r,cmp36r,cmp45r,cmp46r,cmp56r,tc2,tc3,sc2,sc3
sd8040,ok,,29.757367554,316112051.6,660189.44914,2844823.2857,150598279.5,351208.72182,24247603.387,-2.7083268701e-09,1.5064970052e-08,-4.0487432769e-08,-5.8727208718e-08,9.5752171059e-09,-2.9237627989e-10,4.7444305768e-08,7.1643985092e-08,-5.3824122542e-10,-5.6128541006e-08,-1.745571674e-08,6.185088693e-08,-2.5520433887e-08,-1.4875146375e-08,-1.5467829007e-08,0.22443335671,0.01940686912,0.037055470568,0.03132223009
sd2083,ok,,29.822812262,317143817.3,556032.42918,2391815.7206,150999290.48,297343.44213,24384019.452,-3.0812761298e-09,1.915159116e-08,-4.3552518822e-08,-7.1348076199e-08,9.792488521e-09,-3.5779737652e-09,6.0575611616e-08,7.7608828446e-08,-5.7439957808e-10,-1.5921222024e-07,-2.3321313327e-08,6.809877074e-08,-3.8127984967e-08,-1.4865834681e-08,-1.844574595e-08,0.22923089848,0.019958222724,0.088527157573,0.033682004475
sokolov,ok,,30.259353134,327375869.57,267791.46961,3006921.8141,170063026.26,237995.50526,26379038.884,-6.9761120376e-09,1.9151176562e-08,-5.431325921e-08,-1.9142822782e-07,1.0068256404e-08,-1.9566486023e-08,2.8145047714e-07,4.6060377486e-08,-2.7740207794e-09,-2.818257519e-07,-8.8277111532e-08,4.8755940559e-08,-2.2701080344e-07,-3.4626225384e-08,-2.2632053109e-08,0.23838385582,0.044276340723,0.075470532275,0.075370036896
sm701,ok,,30.82118187,323087769.73,1768614.3477,6481374.6058,148266385.84,971750.88084,25790930.903,-2.1043530261e-09,1.0852449067e-08,-2.421458631e-08,-2.6663174397e-08,8.7675653976e-09,-1.9574583872e-09,2.0895909949e-08,4.5006167143e-08,-2.0328970527e-10,-3.773603791e-08,-3.4704717198e-09,4.1427479249e-08,-5.3651998513e-09,-5.4019916765e-09,2.9365822764e-09,0.2280841077,0.026561054802,0.066740498072,0.036956806144
sg6051,ok,,31.52165467,330030351.5,1037357.4417,3697114.1727,152967428.17,570274.36999,27529574.997,-2.4012963441e-09,1.606600966e-08,-3.0966138602e-08,-3.9583099402e-08,9.1911138001e-09,-2.3011830066e-09,3.6507824501e-08,5.6972332697e-08,-2.278436737e-10,-9.6885879803e-08,-6.0312934773e-09,5.3443388554e-08,-9.2905196274e-09,-5.1659480315e-09,-1.0358707167e-08,0.24658121449,0.021117349114,0.10050528841,0.037871663427
sp4621hp,ok,,31.457845029,330455234.12,2588837.5453,10206600.826,150242621.47,1512902.3545,27229624.675,-1.8411855621e-09,8.0826153136e-09,-2.0180421586e-08,-1.7243312561e-08,8.2457758647e-09,-2.3520347452e-09,1.5111988746e-08,3.5456050325e-08,-2.3663335046e-10,-2.1264394026e-08,-3.5471293763e-09,3.1217703131e-08,-5.525233897e-09,-6.7911369608e-09,9.6613396598e-09,0.2313415241,0.029475558818,0.05505006163,0.039122483848
stcyr171,ok,,30.730745717,324069970.91,854376.24195,3171900.2985,152206044.02,444615.73554,26127614.055,-8.594932846e-14,1.3661173178e-08,-3.5108316401e-08,-9.9340351679e-12,9.0212595888e-09,4.0809230032e-12,-1.9074980494e-12,6.4817261063e-08,-5.9595090723e-14,-1.5212133926e-08,4.9417268269e-12,5.7757405783e-08,7.4542182246e-13,-8.9638306002e-09,-2.4260549602e-11,0.235703986,1.8743785274e-06,0.012996885816,-1.629721015e-06
spicasm,ok,,30.77158829,324635474.17,918195.1865,3976133.9048,151826999.75,532806.49846,26124549.346,-3.6920024392e-09,1.3391892243e-08,-3.3305549877e-08,-6.8212305523e-08,1.0364353355e-08,1.8726139423e-09,5.9980167137e-08,5.6276969422e-08,-6.3124955863e-10,-4.9594295528e-08,-9.8450702844e-09,5.1299539793e-08,-1.6883688925e-08,-8.8080337408e-09,-3.8962557858e-08,0.23365112712,0.031507345379,0.045537243432,0.05507350075
stcyr172,ok,,31.079328849,326322336.45,1235757.8731,4486328.4082,151630613.69,658238.97571,26685953.288,3.3374771592e-16,1.1331270794e-08,-2.8958482417e-08,4.2820675962e-17,8.8148491249e-09,4.9346394661e-16,-1.7952040334e-14,5.3355263884e-08,-5.5209987686e-16,-5.92805221e-09,6.4387657484e-15,4.8489412441e-08,2.7801407882e-14,-6.266415787e-09,3.1064930314e-15,0.23523265199,4.5282096823e-10,0.0073256371903,-2.2184375181e-08
sp4721bs,ok,,31.901662124,333678904.83,2700027.0666,9976596.8816,150487516.32,1585594.2009,27980931.583,-1.8923733972e-09,8.4320057405e-09,-1.9346755424e-08,-1.7528831008e-08,8.1905828787e-09,-2.2369521766e-09,1.5485711349e-08,3.465758622e-08,-1.6083769036e-10,-2.0715949577e-08,-2.9447121919e-09,3.1823237791e-08,-4.4707715111e-09,-4.4647622311e-09,8.5920229068e-09,0.23581697947,0.031012359268,0.055933624569,0.041811839789
