airfoil_name,status,error,mu,ea,gj,ga22,ga33,ei22,ei33,stf12r,stf13r,stf14r,stf15r,stf16r,stf23r,stf24r,stf25r,stf26r,stf34r,stf35r,stf36r,stf45r,stf46r,stf56r,cmp12r,cmp13r,cmp14r,cmp15r,cmp16r,cmp23r,cmp24r,cmp25r,cmp26r,cmp34r,cmp35r,cmp36r,cmp45r,cmp46r,cmp56r,tc2,tc3,sc2,sc3
n64212mb,ok,,3.1929648848,32971917.505,113503.33462,455676.8979,14905297.871,62957.907878,2778947.2589,15182452.859,-89701.750413,-205662.27971,448849.99695,-10605194.268,-137804.60371,-272529.22314,155447.09745,-3626964.7802,10955.372082,16691.287747,33123.900837,-59525.523379,46959.479266,-82938.642959,-2.3785321176e-08,5.5216782476e-09,-7.0609066235e-08,-1.9044856196e-07,8.7401430263e-08,1.0539806134e-08,1.1580218689e-07,7.3935836195e-08,-4.9356381847e-10,-4.0325971936e-07,-7.2436948949e-07,-3.3250134014e-09,6.0010156229e-06,-4.3593934992e-08,-1.303517478e-07,0.23852387336,0.01003344697,0.045771322864,0.013143934368
n64215,ok,,3.2030480531,33076040.603,158875.93505,634086.02723,14792994.641,89931.642286,2788243.4107,15008868.661,71724.97201,-172575.98031,368529.89826,-10655919.498,59926.958179,-230239.17844,131085.40305,-3602224.7899,32613.866737,21803.080737,5263.1113262,-80638.572037,38188.627795,-86287.553885,-2.3168744577e-08,3.8880668359e-10,-3.2221320688e-08,-9.0026641375e-08,8.6030570338e-08,-9.0730564033e-09,7.2419579346e-08,4.5305235969e-08,1.5898824223e-10,-4.6840164036e-07,-5.8868426155e-07,-1.3082354775e-08,4.2001205353e-06,7.8644125637e-09,1.13436757e-09,0.23989977584,0.0081207173005,0.074417748591,0.011505728385
n66021,ok,,3.2637858495,33703244.997,337923.29603,1213617.4075,14711183.766,195079.65829,2897313.4321,-14833149.809,-42839.877314,-10333.451863,-1253.9044576,-10806467.368,34034.849444,10340.908595,2001.1796886,3564941.2735,178486.56501,-18444.877483,9041.6801212,167206.16883,5460.1421226,1515.7990264,2.2461716389e-08,5.8937348673e-10,-5.8433432066e-10,9.1619526886e-16,8.304977692e-08,-1.0328269005e-09,-5.5762968497e-10,-1.3016452628e-10,7.4487469583e-11,-4.6414169689e-07,3.6263810186e-07,7.1445094353e-10,-1.9388013501e-06,-2.428518601e-09,2.1062947635e-13,0.2406212342,9.7082814645e-09,0.15684429204,-0.00018843606111
n642415,ok,,3.2064303241,33110967.374,158898.76857,638454.47839,14794280.142,90826.168894,2794683.2511,15001974.327,83720.249014,-357756.44134,739728.79034,-10656967.541,72388.065363,-475571.0759,266428.7343,-3594708.7736,30995.562068,23401.966251,21481.046874,-85188.407701,83056.171451,-174731.31496,-2.4199738978e-08,2.5017181934e-09,-6.533932054e-08,-1.7816365238e-07,8.5802707313e-08,-1.5203227624e-08,1.4758676266e-07,8.8996036582e-08,2.2227893673e-10,-4.6286540728e-07,-5.8773999527e-07,-2.3654721335e-08,4.1576145066e-06,8.9526639102e-09,2.305222919e-09,0.23989562806,0.01623215076,0.073548743229,0.023451354844
n6h15,ok,,3.229150324,33345583.738,181132.4868,727566.47066,14779177.904,106029.49128,2832186.6919,14976697.118,-625700.09254,-719358.52245,1053190.0108,-10810545.596,-802257.30145,-947392.31937,383251.46738,-3630245.6203,119823.44299,843.94646995,222203.7888,-107173.32778,185202.92655,-138762.67467,-2.7206354257e-08,1.1486718439e-08,-1.1788487569e-07,-3.0855854977e-07,9.8103609336e-08,2.7030688306e-08,2.2943963354e-07,1.279673273e-07,-6.6217668949e-09,-6.8132967957e-07,-5.7547907779e-07,-1.0080615937e-08,3.5644552638e-06,-1.5009642763e-07,-3.8480186895e-07,0.24171112111,0.022894073287,0.12341093919,0.041558971394
n6h10,ok,,3.1863069097,32903164.413,78034.706093,365594.84267,14802916.424,46696.862025,2749548.8859,15108987.694,-604717.55647,-758460.19055,1050756.197,-10784148.879,-791788.13449,-1001268.1308,402584.05879,-3674232.0094,74711.397191,-4527.1985564,226831.89285,-57897.778239,192737.18466,-140174.34034,-3.3339164523e-08,2.2084059636e-08,-2.6527909697e-07,-6.9913562789e-07,1.1742320273e-07,4.7829990512e-08,5.6326888137e-07,2.9235587633e-07,-1.5296394074e-08,-1.3938259219e-06,-1.2447474468e-06,-2.7069238412e-08,8.0919719372e-06,-3.3625211541e-07,-8.8137277595e-07,0.24318643358,0.022677679268,0.10876679616,0.04395452161
n6h20,ok,,3.2926969403,34001793.254,302834.04174,1157226.6137,14613467.071,187726.27708,2939232.5844,14637045.994,-787227.5802,-914441.47295,1427510.6611,-10783636.162,-1005684.5457,-1203001.9554,489378.79757,-3505341.6153,213464.6205,-5626.279104,282422.17286,-176737.92529,235473.65451,-184914.09794,-2.6919999968e-08,8.7347611623e-09,-8.9103509615e-08,-2.329180448e-07,9.4000470085e-08,1.9900904366e-08,1.7830154343e-07,9.8421223087e-08,-6.7711300595e-09,-4.5443718369e-07,-3.3176818365e-07,-9.3164209207e-09,2.0112422551e-06,-1.111412112e-07,-2.8358986288e-07,0.23900378431,0.031095378681,0.13761904905,0.053995777044
n8h12,ok,,3.1969502878,33013072.476,99794.624565,440730.25461,14868752.477,58330.151843,2780414.6964,15153646.855,-461561.62433,-570655.27715,831044.89835,-10697957.606,-608167.15849,-754173.1042,311418.41794,-3648278.3862,26632.660741,9764.847464,167633.70407,-61543.830803,138065.23762,-108587.23717,-2.810609896e-08,7.7513060204e-09,-1.6689022271e-07,-4.4075694477e-07,1.0067682604e-07,5.7788955302e-08,3.5474265501e-07,1.8932339758e-07,-7.3801850348e-09,-3.3693274699e-07,-7.2346342383e-07,-2.2429386774e-08,6.4793667271e-06,-2.0804076311e-07,-5.4839624192e-07,0.24042952369,0.018037423417,0.033624076989,0.035401410074
n9,ok,,3.1952284074,32995291.605,60936.763761,254385.27159,15059604.407,33329.814861,2799150.6487,15431197.09,-450454.80095,-770979.80973,1391351.3088,-11019899.592,-597062.22347,-1019299.5718,513510.77624,-3803721.4279,36854.685566,-3094.6499164,163885.34446,-56538.500118,191293.96458,-255198.33941,-4.0819055078e-08,3.8828593216e-08,-4.2997295958e-07,-1.1373503281e-06,1.2304094269e-07,7.4859613037e-08,7.6898218254e-07,4.5728511557e-07,-1.6172588357e-08,-8.989905531e-07,-1.5036976604e-06,-2.7301332727e-08,1.133721097e-05,-3.4598328935e-07,-9.1691235083e-07,0.24679136252,0.03039436005,0.054781574958,0.046859285594
naca0006,ok,,3.1665496755,32699142.784,29878.502769,121368.89988,15008961.606,15395.651095,2736768.3085,-15393079.341,5063.2886633,1044.8236547,234.13264745,-10997382.182,-3563.4333088,-1335.6401424,-450.80745855,3819012.4294,1797.1545451,-5536.8026696,-844.47704069,15561.636798,-652.66106049,-227.60509541,2.3121835685e-08,-9.0629256962e-10,8.754295311e-10,-6.9176519694e-13,9.0613441376e-08,9.7795194007e-10,1.3722449568e-09,4.0237253651e-10,-3.0755464013e-11,-1.5975133949e-06,3.2883697642e-06,-1.2761923447e-09,-2.456578366e-05,3.5302314974e-09,-3.060669262e-12,0.24798799468,-1.0352657121e-09,0.047731308393,4.1000624741e-05
naca0008,ok,,3.1814113944,32852611.234,53037.739628,209967.08047,15034189.867,27680.527954,2770148.498,-15396109.426,11703.790907,2506.5307904,577.99147022,-10994031.265,-8269.2651304,-3150.7833772,-1067.6479209,3806606.6879,4829.2362868,-8921.5197149,-1973.3580651,27414.117563,-1538.5655234,-536.77662377,2.3001415333e-08,-1.1952900847e-09,1.1476025127e-09,-6.5365104258e-13,8.9177252108e-08,1.3051233475e-09,1.7928902245e-09,5.2426728924e-10,-5.7413048389e-11,-1.0040596381e-06,1.8311196605e-06,-1.6708008995e-09,-1.3658863836e-05,4.6453895533e-09,-2.2998790718e-12,0.24703423098,2.3667456146e-09,0.053253053654,9.5090844908e-05
naca000834,ok,,3.1711315509,32746457.185,56188.545665,215423.9396,14993706.385,28736.092956,2743138.2551,-15370681.123,4474.4242939,1007.1634968,101.90156757,-11050955.205,-3407.7352922,-1016.7455557,-195.58739558,3828636.5171,27120.294066,-5250.3719841,-940.98403587,28853.207021,-571.7139459,-159.20215226,2.3097455107e-08,-3.9084738207e-10,3.9867215171e-10,-1.5376238727e-14,9.07795483e-08,5.3356796601e-10,3.3558604344e-10,9.5104315425e-11,-1.8239241546e-11,-2.5531966268e-06,2.4973761041e-06,-4.9341932253e-10,-1.3163792638e-05,1.6009409221e-09,-1.3921230645e-14,0.24902085172,3.4223428113e-10,0.14346040526,1.8856091726e-05
