radius,fn_sg_sc,e1,e2,e3,nu12,nu13,nu23,g12,g13,g23
0.1,evals\eval.0\sg.sg,1009708600.0,1009671100.0,1009640900.0,0.2994535,0.29950212,0.29941312,388484770.0,388487710.0,388495410.0
0.15000000000000002,evals\eval.1\sg.sg,1032060200.0,1032190800.0,1032001900.0,0.29829229,0.29829915,0.29819887,397042050.0,396982080.0,396992210.0
0.2,evals\eval.2\sg.sg,1077015000.0,1077042000.0,1076356000.0,0.29589923,0.29617949,0.29593818,412902680.0,412899460.0,412855690.0
0.25,evals\eval.3\sg.sg,1159719400.0,1159690800.0,1159498700.0,0.29140455,0.29146949,0.2913448,439397080.0,439412880.0,439398320.0
0.30000000000000004,evals\eval.4\sg.sg,1302947200.0,1302884700.0,1300677500.0,0.28309276,0.28387987,0.28379202,479467920.0,478797360.0,478982440.0
0.3500000000000001,evals\eval.5\sg.sg,1559302200.0,1559247500.0,1559348600.0,0.26873985,0.26852919,0.26845775,540479350.0,540416500.0,540542980.0
0.4,evals\eval.6\sg.sg,2028352200.0,2030105400.0,2029744300.0,0.24425223,0.2440048,0.24346769,636787870.0,634691360.0,635491400.0
